X	TIME
704	2136778087
680	2136778127
632	2136778167
600	2136778207
568	2136778247
536	2136778287
480	2136778327
456	2136778367
408	2136778407
376	2136778447
360	2136778487
320	2136778527
296	2136778567
248	2136778607
184	2136778647
152	2136778687
112	2136778727
72	2136778767
16	2136778807
-15	2136778847
-55	2136778887
312	2136779969
368	2136780009
400	2136780049
432	2136780089
480	2136780129
504	2136780169
504	2136780209
552	2136780249
544	2136780289
600	2136780329
600	2136780369
600	2136780409
632	2136780449
680	2136780489
712	2136780529
752	2136780569
768	2136780609
800	2136780649
824	2136780689
848	2136780729
872	2136780769
888	2136780809
880	2136780849
872	2136780889
864	2136780929
872	2136780481
872	2136780521
848	2136780561
832	2136780601
816	2136780641
808	2136780681
776	2136780721
792	2136780761
808	2136780801
784	2136780841
800	2136780881
792	2136780921
784	2136780961
744	2136781001
768	2136781041
752	2136781081
728	2136781121
720	2136781161
720	2136781201
664	2136781241
624	2136781281
592	2136781321
544	2136781361
512	2136781401
472	2136781441
416	2136780992
376	2136781032
344	2136781072
288	2136781112
240	2136781152
200	2136781192
144	2136781232
112	2136781272
72	2136781312
40	2136781352
-7	2136781392
-71	2136781432
-103	2136781472
-159	2136781512
-207	2136781552
-247	2136781592
-303	2136781632
-335	2136781672
-407	2136781712
-415	2136781752
-447	2136781792
-439	2136781832
-495	2136781872
-543	2136781912
-543	2136781952
-591	2136781502
-623	2136781542
-639	2136781582
-671	2136781622
-703	2136781662
-719	2136781702
-719	2136781742
-775	2136781782
-743	2136781822
-759	2136781862
-751	2136781902
-735	2136781942
-751	2136781982
-751	2136782022
-727	2136782062
-743	2136782102
-783	2136782142
-767	2136782182
-759	2136782222
-735	2136782262
-767	2136782302
-759	2136782342
-743	2136782382
-719	2136782422
-711	2136782462
-687	2136782013
-687	2136782053
-655	2136782093
-639	2136782133
-623	2136782173
-631	2136782213
-607	2136782253
-575	2136782293
-567	2136782333
-543	2136782373
-495	2136782413
-463	2136782453
-447	2136782493
-439	2136782533
-423	2136782573
-399	2136782613
-343	2136782653
-319	2136782693
-303	2136782733
-287	2136782773
-223	2136782813
-199	2136782853
-199	2136782893
-159	2136782933
-127	2136782973
-87	2136782523
-55	2136782563
-31	2136782603
-23	2136782643
0	2136782683
48	2136782723
80	2136782763
112	2136782803
152	2136782843
200	2136782883
240	2136782923
288	2136782963
296	2136783003
328	2136783043
392	2136783083
440	2136783123
432	2136783163
440	2136783203
464	2136783243
552	2136783283
568	2136783323
568	2136783363
576	2136783403
616	2136783443
664	2136783483
680	2136783035
704	2136783075
752	2136783115
776	2136783155
808	2136783195
848	2136783235
864	2136783275
872	2136783315
880	2136783355
880	2136783395
880	2136783435
872	2136783475
832	2136783515
824	2136783555
848	2136783595
808	2136783635
800	2136783675
784	2136783715
784	2136783755
768	2136783795
776	2136783835
776	2136783875
752	2136783915
728	2136783955
696	2136783995
688	2136783545
688	2136783585
664	2136783625
672	2136783665
664	2136783705
632	2136783745
640	2136783785
632	2136783825
632	2136783865
616	2136783905
600	2136783945
584	2136783985
560	2136784025
552	2136784065
528	2136784105
536	2136784145
520	2136784185
512	2136784225
512	2136784265
488	2136784305
496	2136784345
480	2136784385
464	2136784425
480	2136784465
440	2136784505
440	2136784056
448	2136784096
448	2136784136
456	2136784176
440	2136784216
432	2136784256
456	2136784296
408	2136784336
416	2136784376
432	2136784416
440	2136784456
432	2136784496
472	2136784536
472	2136784576
504	2136784616
496	2136784656
488	2136784696
456	2136784736
448	2136784776
432	2136784816
448	2136784856
536	2136784896
480	2136784936
560	2136784976
504	2136785016
528	2136784567
528	2136784607
496	2136784647
