Z	TIME
704	2136782013
712	2136782053
768	2136782093
808	2136782133
744	2136782173
752	2136782213
752	2136782253
912	2136782293
736	2136782333
768	2136782373
776	2136782413
864	2136782453
816	2136782493
760	2136782533
776	2136782573
872	2136782613
904	2136782653
840	2136782693
808	2136782733
856	2136782773
888	2136782813
904	2136782853
816	2136782893
856	2136782933
888	2136782973
896	2136782523
896	2136782563
880	2136782603
824	2136782643
864	2136782683
920	2136782723
920	2136782763
816	2136782803
776	2136782843
888	2136782883
880	2136782923
944	2136782963
792	2136783003
776	2136783043
872	2136783083
816	2136783123
752	2136783163
680	2136783203
760	2136783243
800	2136783283
712	2136783323
680	2136783363
632	2136783403
680	2136783443
704	2136783483
672	2136783035
552	2136783075
536	2136783115
600	2136783155
648	2136783195
592	2136783235
512	2136783275
536	2136783315
608	2136783355
624	2136783395
544	2136783435
432	2136783475
528	2136783515
600	2136783555
624	2136783595
624	2136783635
600	2136783675
552	2136783715
632	2136783755
704	2136783795
712	2136783835
632	2136783875
568	2136783915
608	2136783955
584	2136783995
568	2136783545
544	2136783585
552	2136783625
576	2136783665
600	2136783705
600	2136783745
648	2136783785
576	2136783825
624	2136783865
632	2136783905
632	2136783945
696	2136783985
664	2136784025
656	2136784065
592	2136784105
656	2136784145
696	2136784185
712	2136784225
696	2136784265
536	2136784305
560	2136784345
704	2136784385
680	2136784425
664	2136784465
496	2136784505
456	2136784056
536	2136784096
592	2136784136
568	2136784176
208	2136784216
48	2136784256
240	2136784296
368	2136784336
368	2136784376
168	2136784416
-47	2136784456
-23	2136784496
48	2136784536
-31	2136784576
-151	2136784616
-167	2136784656
-135	2136784696
-111	2136784736
-63	2136784776
-167	2136784816
-383	2136784856
-431	2136784896
-343	2136784936
-71	2136784976
-199	2136785016
-103	2136784567
-255	2136784607
-143	2136784647
